ID,Order,Location,Comments,Red,Yellow,,,
PB4648,60,MF_near,,,,,,
PB0850,61,MF_near,,,,,,
PB3487,62,MF_near,,,,,,
PB4166,63,MF_near,,,,,,
PB4209,64,MF_near,,,,,,
PB4164,65,MF_near,,,,,,
PB4174,66,MF_near,,,,,,
PB3493,67,MF_near,,,,,,
PB1895,68,MF_near,,,,,,
PB3483,69,MF_near,,,,,,
PB0805,70,MF_near,,,,,,
PB4173,71,MF_near,,,,,,
PB1809,1,MF_far,,,,,,
PB1813,2,MF_far,,,,,,
PB1810,3,MF_far,,,,,,
PB1564,4,MF_far,,,,,,
PB1559,5,MF_far,,,,,,
PB0996,6,MF_far,,,,,,
PB1551,7,MF_far,,,,,,
PB1563,8,MF_far,,,,,,
PB1049,9,MF_far,,,,,,
PB1045,10,MF_far,,,,,,
PB3921,11,MF_far,,,,,,
PB0987,12,MF_far,,,,,,
PB0993,13,MF_far,,,,,,
PB1052,14,MF_far,,,,,,
PB1043,15,MF_far,,,,,,
PB1560,16,MF_far,,,,,,
PB1055,17,MF_far,,,,,,
PB1558,18,MF_far,,,,,,
PB1555,19,MF_far,,,,,,
PB1570,20,MF_far,,,,,,
PB0990,21,MF_far,,,,,,
PB1051,22,MF_far,,,,,,
PB1567,23,MF_far,,,,,,
PB1553,24,MF_far,,,,,,
PB0997,25,MF_far,,,,,,
PB2959,26,MF_far,,,,,,
PB1059,27,MF_far,,,,,,
PB1050,28,MF_far,,,,,,
PB1056,29,MF_far,,,,,,
PB1060,30,MF_far,,,,,,
PB1048,31,MF_far,,,,,,
PB2946,32,MF_far,,,,,,
PB1046,33,MF_far,,,,,,
PB1569,34,MF_far,,,,,,
PB0934,35,MF_far,,,,,,
PB0926,36,MF_far,,,,,,
PB1591,37,MF_far,,,,,,
PB0929,38,MF_far,,,,,,
PB1522,39,MF_far,,,,,,
PB1047,40,MF_far,,,,,,
PB1042,41,MF_far,,,,,,
PB1561,42,MF_far,,,,,,
PB1053,43,MF_far,,,,,,
PB1253,44,MF_far,,,,,,
PB2949,45,MF_far,,,,,,
PB2945,46,MF_far,,,,,,
PB2943,47,MF_far,,,,,,
PB1000,48,MF_far,,,,,,
PB2958,49,MF_far,,,,,,
PB2951,50,MF_far,,,,,,
PB2953,51,MF_far,,,,,,
PB1606,52,MF_far,,,,,,
PB1602,53,MF_far,,,,,,
PB2948,54,MF_far,,,,,,
PB1512,55,MF_far,,,,,,
PB1469,56,MF_far,,,,,,
PB2944,57,MF_far,,,,,,
PB2983,58,MF_far,,,,,,
PB1470,59,MF_far,,,,,,
PB0912,,,red_in_YF,4,1,,,
PB2307,,,red_in_YF,4,1.5,,,
PB3845,,,red_in_YF,4,1,,,
PB3850,,,red_in_YF,4,1,,,
Z2012,,,red_in_YF,4,1.5,,,
Z4215,,,red_in_YF,4,1.5,,,
Z0182,,,yellow_in_MF,0.5,1.5,,,
Z1970,,,yellow_in_MF,0.5,2,,,
Z2125,,,yellow_in_MF,0.5,1.5,,,
Z3987,,,yellow_in_MF,0.5,3,,,
Z4881,,,yellow_in_MF,0.5,1.5,,,
PA1499,,,yellow_in_MF,0.5,3,,,
