ID,Order,Location,Comments,Red,Yellow
PB1776,67,MF_near,,,
PB2091,68,MF_near,,,
PB0823,69,MF_near,,,
PB0826,70,MF_near,,,
PB3031,71,MF_near,,,
PB1033,72,MF_near,,,
PB4204,73,MF_near,,,
PB1034,74,MF_near,,,
PB1039,75,MF_near,,,
PB2081,76,MF_near,,,
PB2088,77,MF_near,,,
PB1026,78,MF_near,,,
PB2098,79,MF_near,,,
PB0840,80,MF_near,,,
PB3023,81,MF_near,,,
PB0862,82,MF_near,,,
PB1985,83,MF_near,,,
PB1013,84,MF_near,,,
PB0811,85,MF_near,,,
PB2087,86,MF_near,,,
PB2089,87,MF_near,,,
PB2096,88,MF_near,,,
PB3037,89,MF_near,,,
PB4192,90,MF_near,,,
PB4136,91,MF_near,,,
PB0830,92,MF_near,,,
PB0831,93,MF_near,,,
PB4656,94,MF_near,,,
PB0803,95,MF_near,,,
PB4647,96,MF_near,,,
PB0820,97,MF_near,,,
PB4660,98,MF_near,,,
PB4123,99,MF_near,,,
PB2083,100,MF_near,,,
PB4670,101,MF_near,,,
PB1995,102,MF_near,,,
PB0808,103,MF_near,,,
PB0824,104,MF_near,,,
PB1989,105,MF_near,,,
PB1025,106,MF_near,,,
PB4669,107,MF_near,,,
PB4217,108,MF_near,,,
PB3034,109,MF_near,,,
PB4193,110,MF_near,,,
PB1994,111,MF_near,,,
PB3033,112,MF_near,,,
PB1878,113,MF_near,,,
PB0839,114,MF_near,,,
PB1029,115,MF_near,,,
PB2000,116,MF_near,,,
PB4677,117,MF_near,,,
PB4196,118,MF_near,,,
PB1997,119,MF_near,,,
PB1982,120,MF_near,,,
PB3026,121,MF_near,,,
PB3028,122,MF_near,,,
PB1996,123,MF_near,,,
PB0809,124,MF_near,,,
PB1988,125,MF_near,,,
PB1984,126,MF_near,,,
PB1992,127,MF_near,,,
PB4679,128,MF_near,,,
PB3032,129,MF_near,,,
PB4667,130,MF_near,,,
PB4673,131,MF_near,,,
PB1864,132,MF_near,,,
PB1027,133,MF_near,,,
PB1809,1,MF_far,,,
PB1813,2,MF_far,,,
PB1810,3,MF_far,,,
PB1564,4,MF_far,,,
PB1559,5,MF_far,,,
PB0996,6,MF_far,,,
PB1551,7,MF_far,,,
PB1563,8,MF_far,,,
PB1049,9,MF_far,,,
PB1045,10,MF_far,,,
PB3921,11,MF_far,,,
PB0987,12,MF_far,,,
PB0993,13,MF_far,,,
PB1052,14,MF_far,,,
PB1043,15,MF_far,,,
PB1560,16,MF_far,,,
PB1055,17,MF_far,,,
PB1558,18,MF_far,,,
PB1555,19,MF_far,,,
PB1570,20,MF_far,,,
PB0990,21,MF_far,,,
PB1051,22,MF_far,,,
PB1567,23,MF_far,,,
PB1553,24,MF_far,,,
PB0997,25,MF_far,,,
PB2959,26,MF_far,,,
PB1059,27,MF_far,,,
PB1050,28,MF_far,,,
PB1056,29,MF_far,,,
PB1060,30,MF_far,,,
PB1048,31,MF_far,,,
PB2946,32,MF_far,,,
PB1046,33,MF_far,,,
PB1569,34,MF_far,,,
PB0934,35,MF_far,,,
PB0926,36,MF_far,,,
PB1591,37,MF_far,,,
PB0929,38,MF_far,,,
PB1522,39,MF_far,,,
PB1047,40,MF_far,,,
PB1042,41,MF_far,,,
PB1561,42,MF_far,,,
PB1053,43,MF_far,,,
PB1253,44,MF_far,,,
PB2949,45,MF_far,,,
PB2945,46,MF_far,,,
PB2943,47,MF_far,,,
PB1000,48,MF_far,,,
PB2958,49,MF_far,,,
PB2951,50,MF_far,,,
PB2953,51,MF_far,,,
PB1606,52,MF_far,,,
PB1602,53,MF_far,,,
PB2948,54,MF_far,,,
PB1512,55,MF_far,,,
PB1469,56,MF_far,,,
PB2944,57,MF_far,,,
PB2983,58,MF_far,,,
PB1470,59,MF_far,,,
PB0912,,,red_in_YF,4,1
PB2307,,,red_in_YF,4,1.5
PB3845,,,red_in_YF,4,1
PB3850,,,red_in_YF,4,1
Z2012,,,red_in_YF,4,1.5
Z4215,,,red_in_YF,4,1.5
Z0182,,,yellow_in_MF,0.5,1.5
Z1970,,,yellow_in_MF,0.5,2
Z2125,,,yellow_in_MF,0.5,1.5
Z3987,,,yellow_in_MF,0.5,3
Z4881,,,yellow_in_MF,0.5,1.5
PA1499,,,yellow_in_MF,0.5,3
