PlantID	fullname	batch_long	batch	species	location	Latitude	Longitude	Altitude	Pool	fullname_v3.5
PB0326	2x-N704-28_Am_Pla_pb0326	2x-N704-28	2x	Am	Pla	42.32362754	2.080254293	1185.132667	core	2x-N704-28_Am_Pla_pb0326_v3.5
PB0327	2x-N704-29_Am_Pla_pb0327	2x-N704-29	2x	Am	Pla	42.3235836	2.079149035	1189.741	core	2x-N704-29_Am_Pla_pb0327_v3.5
PB0298	2x-N704-3_Am_Pla_pb0298	2x-N704-3	2x	Am	Pla	42.32367127	2.080587687	1185.315	core	2x-N704-3_Am_Pla_pb0298_v3.5
PB0328	2x-N704-30_Am_Pla_pb0328	2x-N704-30	2x	Am	Pla	42.32361978	2.080396325	1187.627667	core	2x-N704-30_Am_Pla_pb0328_v3.5
PB0329	2x-N704-31_Am_Pla_pb0329	2x-N704-31	2x	Am	Pla	42.32364034	2.0804343	1184.633	core	2x-N704-31_Am_Pla_pb0329_v3.5
PB0330	2x-N704-32_Am_Pla_pb0330	2x-N704-32	2x	Am	Pla	42.32364624	2.079587647	1184.900667	core	2x-N704-32_Am_Pla_pb0330_v3.5
PB0331	2x-N704-33_Am_Pla_pb0331	2x-N704-33	2x	Am	Pla	42.32357146	2.078965187	1189.051	core	2x-N704-33_Am_Pla_pb0331_v3.5
PB0332	2x-N704-34_Am_Pla_pb0332	2x-N704-34	2x	Am	Pla	42.32361163	2.079329179	1187.954	core	2x-N704-34_Am_Pla_pb0332_v3.5
PB0333	2x-N704-35_Am_Pla_pb0333	2x-N704-35	2x	Am	Pla	42.32359416	2.079240806	1189.322333	core	2x-N704-35_Am_Pla_pb0333_v3.5
PB0334	2x-N704-36_Am_Pla_pb0334	2x-N704-36	2x	Am	Pla	42.32360433	2.079272301	1188.809	core	2x-N704-36_Am_Pla_pb0334_v3.5
PB0335	2x-N704-37_Am_Pla_pb0335	2x-N704-37	2x	Am	Pla	42.32362892	2.079549537	1187.377667	core	2x-N704-37_Am_Pla_pb0335_v3.5
PB0336	2x-N704-38_Am_Pla_pb0336	2x-N704-38	2x	Am	Pla	42.32360931	2.079300541	1188.592667	core	2x-N704-38_Am_Pla_pb0336_v3.5
PB0337	2x-N704-39_Am_Pla_pb0337	2x-N704-39	2x	Am	Pla	42.32361277	2.079333048	1187.232667	core	2x-N704-39_Am_Pla_pb0337_v3.5
PB0300	2x-N704-4_Am_Pla_pb0300	2x-N704-4	2x	Am	Pla	42.32167511	2.070467445	1202.335	core	2x-N704-4_Am_Pla_pb0300_v3.5
PB0338	2x-N704-40_Am_Pla_pb0338	2x-N704-40	2x	Am	Pla	42.3235484	2.078763648	1180.914667	core	2x-N704-40_Am_Pla_pb0338_v3.5
