ID			Plate	row	column	coord				10 coverage							
pb2555	N706	D71	6	G	9	G9	6G9											
pb2556	N706	D72	6	H	9	H9	6H9											
pb2557	N706	D73	6	A	10	A10	6A10											
pb2558	N706	D74	6	B	10	B10	6B10											
pb2559	N706	D75	6	C	10	C10	6C10											
pb2560	N706	D76	6	D	10	D10	6D10											
pb2595	N706	D77	6	E	10	E10	6E10											
pb2750	N706	D78	6	F	10	F10	6F10											
pb2757	N706	D79	6	G	10	G10	6G10											
pb2804	N706	D80	6	H	10	H10	6H10											
pb2808	N706	D81	6	A	11	A11	6A11											
pb2820	N706	D82	6	B	11	B11	6B11											
pb2862	N706	D83	6	C	11	C11	6C11											
pb2863	N706	D84	6	D	11	D11	6D11											
pb2864	N706	D85	6	E	11	E11	6E11											
pb2865	N706	D86	6	F	11	F11	6F11											
pb2866	N706	D87	6	G	11	G11	6G11											
pb2867	N706	D88	6	H	11	H11	6H11											
pb2868	N706	D89	6	A	12	A12	6A12											
pb2869	N706	D90	6	B	12	B12	6B12											
pb2871	N706	D91	6	C	12	C12	6C12											
pb2872	N706	D92	6	D	12	D12	6D12											
pb2873	N706	D93	6	E	12	E12	6E12											
pb2874	N706	D94	6	F	12	F12	6F12											
pb2875	N706	D95	6	G	12	G12	6G12											
pb2877	N706	D96	6	H	12	H12	6H12											
pb2879	N707	D01	7	A	1	A1	7A1											
pb2880	N707	D02	7	B	1	B1	7B1											
pb2906	N707	D03	7	C	1	C1	7C1											
pb2907	N707	D04	7	D	1	D1	7D1											
pb2910	N707	D05	7	E	1	E1	7E1											
pb2911	N707	D06	7	F	1	F1	7F1											
pb2912	N707	D07	7	G	1	G1	7G1											
pb2914	N707	D08	7	H	1	H1	7H1											
pb2916	N707	D09	7	A	2	A2	7A2											
pb2917	N707	D10	7	B	2	B2	7B2											
pb2919	N707	D11	7	C	2	C2	7C2											
pb3343	N707	D12	7	D	2	D2	7D2											
pb3346	N707	D13	7	E	2	E2	7E2											
pb3354	N707	D14	7	F	2	F2	7F2											
pb3355	N707	D15	7	G	2	G2	7G2											
pb3356	N707	D16	7	H	2	H2	7H2											
pb3357	N707	D17	7	A	3	A3	7A3											
pb3405	N707	D19	7	C	3	C3	7C3											
pb3407	N707	D20	7	D	3	D3	7D3											
pb3408	N707	D21	7	E	3	E3	7E3											
pb3409	N707	D22	7	F	3	F3	7F3											
pb3410	N707	D23	7	G	3	G3	7G3											
pb3411	N707	D24	7	H	3	H3	7H3											
pb3412	N707	D25	7	A	4	A4	7A4											
pb3414	N707	D26	7	B	4	B4	7B4											
pb3415	N707	D27	7	C	4	C4	7C4											
pb3417	N707	D28	7	D	4	D4	7D4											
pb3824	N707	D29	7	E	4	E4	7E4											
pb3826	N707	D30	7	F	4	F4	7F4											
pb3827	N707	D31	7	G	4	G4	7G4											
pb3828	N707	D32	7	H	4	H4	7H4											
pb3829	N707	D33	7	A	5	A5	7A5											
pb3834	N707	D34	7	B	5	B5	7B5											
pb3836	N707	D35	7	C	5	C5	7C5											
pb3837	N707	D36	7	D	5	D5	7D5											
pb3838	N707	D37	7	E	5	E5	7E5											
pb3839	N707	D38	7	F	5	F5	7F5											
pb3882	N707	D39	7	G	5	G5	7G5											
pb3885	N707	D40	7	H	5	H5	7H5											
pb3886	N707	D41	7	A	6	A6	7A6											
pb3887	N707	D42	7	B	6	B6	7B6											
pb3888	N707	D43	7	C	6	C6	7C6											
pb3889	N707	D44	7	D	6	D6	7D6											
pb3890	N707	D45	7	E	6	E6	7E6											
pb3891	N707	D46	7	F	6	F6	7F6											
pb3892	N707	D47	7	G	6	G6	7G6											
pb3893	N707	D48	7	H	6	H6	7H6											
pb3894	N707	D49	7	A	7	A7	7A7											
pb3896	N707	D50	7	B	7	B7	7B7											
pb3897	N707	D51	7	C	7	C7	7C7											
pb3898	N707	D52	7	D	7	D7	7D7											
pb3899	N707	D53	7	E	7	E7	7E7											
pb4084	N707	D54	7	F	7	F7	7F7											
pb4099	N707	D55	7	G	7	G7	7G7											
pb4102	N707	D56	7	H	7	H7	7H7											
pb4104	N707	D57	7	A	8	A8	7A8											
pb4108	N707	D58	7	B	8	B8	7B8											
pb4113	N707	D59	7	C	8	C8	7C8											
pb4116	N707	D60	7	D	8	D8	7D8											
pb4119	N707	D61	7	E	8	E8	7E8											
pb4284	N707	D62	7	F	8	F8	7F8											
pb4285	N707	D63	7	G	8	G8	7G8											
pb4286	N707	D64	7	H	8	H8	7H8											
pb4289	N707	D65	7	A	9	A9	7A9											
pb4290	N707	D66	7	B	9	B9	7B9											
pb4292	N707	D67	7	C	9	C9	7C9											
pb4293	N707	D68	7	D	9	D9	7D9											
pb4294	N707	D69	7	E	9	E9	7E9											
pb4295	N707	D70	7	F	9	F9	7F9											
pb4296	N707	D71	7	G	9	G9	7G9											
pb4297	N707	D72	7	H	9	H9	7H9											
pb4298	N707	D73	7	A	10	A10	7A10											
pb4299	N707	D74	7	B	10	B10	7B10											
pb4300	N707	D75	7	C	10	C10	7C10											
pb4301	N707	D76	7	D	10	D10	7D10											
pb4303	N707	D77	7	E	10	E10	7E10											
pb4306	N707	D78	7	F	10	F10	7F10											
pb4308	N707	D79	7	G	10	G10	7G10											
pb4310	N707	D80	7	H	10	H10	7H10											
pb4311	N707	D81	7	A	11	A11	7A11											
pb4313	N707	D82	7	B	11	B11	7B11											
pb4314	N707	D83	7	C	11	C11	7C11											
pb4315	N707	D84	7	D	11	D11	7D11											
pb4316	N707	D85	7	E	11	E11	7E11											
pb4319	N707	D87	7	G	11	G11	7G11											
pb4323	N707	D88	7	H	11	H11	7H11											
pb4324	N707	D89	7	A	12	A12	7A12											
pb4329	N707	D90	7	B	12	B12	7B12											
pb4330	N707	D91	7	C	12	C12	7C12											
pb4331	N707	D92	7	D	12	D12	7D12											
pb4561	N707	D93	7	E	12	E12	7E12											
pb4562	N707	D94	7	F	12	F12	7F12											
pb4564	N707	D96	7	H	12	H12	7H12											
pb4565	N708	D01	8	A	1	A1	8A1											
pb4566	N708	D02	8	B	1	B1	8B1											
pb4567	N708	D03	8	C	1	C1	8C1											
pb4568	N708	D04	8	D	1	D1	8D1											
pb4569	N708	D05	8	E	1	E1	8E1											
pb4570	N708	D06	8	F	1	F1	8F1											
pb4572	N708	D07	8	G	1	G1	8G1											
pb4574	N708	D08	8	H	1	H1	8H1											
pb4575	N708	D09	8	A	2	A2	8A2											
pb4576	N708	D10	8	B	2	B2	8B2											
pb4578	N708	D11	8	C	2	C2	8C2											
pb4579	N708	D12	8	D	2	D2	8D2											
pb4580	N708	D13	8	E	2	E2	8E2											
pb4701	N708	D14	8	F	2	F2	8F2											
pb4702	N708	D15	8	G	2	G2	8G2											
pb4703	N708	D16	8	H	2	H2	8H2											
pb4704	N708	D17	8	A	3	A3	8A3											
pb4705	N708	D18	8	B	3	B3	8B3											
pb4707	N708	D19	8	C	3	C3	8C3											
pb4714	N708	D20	8	D	3	D3	8D3											
pb4715	N708	D21	8	E	3	E3	8E3											
pb4716	N708	D22	8	F	3	F3	8F3											
pb4717	N708	D23	8	G	3	G3	8G3											
pb4718	N708	D24	8	H	3	H3	8H3											
pb4841	N708	D25	8	A	4	A4	8A4											
pb4842	N708	D26	8	B	4	B4	8B4											
pb4843	N708	D27	8	C	4	C4	8C4											
pb4844	N708	D28	8	D	4	D4	8D4											
pb4845	N708	D29	8	E	4	E4	8E4											
pb4847	N708	D30	8	F	4	F4	8F4											
pb4848	N708	D31	8	G	4	G4	8G4											
pb4850	N708	D32	8	H	4	H4	8H4											
pb4857	N708	D33	8	A	5	A5	8A5											
pb4858	N708	D34	8	B	5	B5	8B5											
pb4859	N708	D35	8	C	5	C5	8C5											
y1916	N708	D36	8	D	5	D5	8D5											
y2016	N708	D37	8	E	5	E5	8E5											
y208	N708	D38	8	F	5	F5	8F5											
z0040	N708	D39	8	G	5	G5	8G5											
z0191	N708	D40	8	H	5	H5	8H5											
z0219	N708	D41	8	A	6	A6	8A6											
z0403	N708	D42	8	B	6	B6	8B6											
z0455	N708	D43	8	C	6	C6	8C6											
z0464	N708	D44	8	D	6	D6	8D6											
z0466	N708	D45	8	E	6	E6	8E6											
z0474	N708	D46	8	F	6	F6	8F6											
z0491	N708	D47	8	G	6	G6	8G6											
z0511	N708	D48	8	H	6	H6	8H6											
z0572	N708	D49	8	A	7	A7	8A7											
z0573	N708	D50	8	B	7	B7	8B7											
z0576	N708	D51	8	C	7	C7	8C7											
z0715	N708	D52	8	D	7	D7	8D7											
z1062	N708	D53	8	E	7	E7	8E7											
z1066	N708	D54	8	F	7	F7	8F7											
z1071	N708	D55	8	G	7	G7	8G7											
z1079	N708	D56	8	H	7	H7	8H7											
z1259	N708	D57	8	A	8	A8	8A8											
z1621	N708	D58	8	B	8	B8	8B8											
z1765	N708	D59	8	C	8	C8	8C8											
z2100	N708	D60	8	D	8	D8	8D8											
z2108	N708	D61	8	E	8	E8	8E8											
z2983	N708	D62	8	F	8	F8	8F8											
z4584	N708	D63	8	G	8	G8	8G8											
pa0212	N708	D64	8	H	8	H8	8H8											
pa0283	N708	D65	8	A	9	A9	8A9											
pa0291	N708	D66	8	B	9	B9	8B9											
pa0299	N708	D67	8	C	9	C9	8C9											
pa0323	N708	D68	8	D	9	D9	8D9											
pa0330	N708	D69	8	E	9	E9	8E9											
pa0333	N708	D70	8	F	9	F9	8F9											
pa0341	N708	D71	8	G	9	G9	8G9											
pa0343	N708	D72	8	H	9	H9	8H9											
pa0344	N708	D73	8	A	10	A10	8A10											
pa0349	N708	D74	8	B	10	B10	8B10											
pa0350	N708	D75	8	C	10	C10	8C10											
pa0356	N708	D76	8	D	10	D10	8D10											
pa0447	N708	D77	8	E	10	E10	8E10											
pa0448	N708	D78	8	F	10	F10	8F10											
pa0460	N708	D79	8	G	10	G10	8G10											
pa0666	N708	D80	8	H	10	H10	8H10											
pa0760	N708	D81	8	A	11	A11	8A11											
pa0981	N708	D82	8	B	11	B11	8B11											
pa0986	N708	D83	8	C	11	C11	8C11											
pa0994	N708	D84	8	D	11	D11	8D11											
pa0998	N708	D85	8	E	11	E11	8E11											
pa0999	N708	D86	8	F	11	F11	8F11											
pa1148	N708	D87	8	G	11	G11	8G11											
pa1168	N708	D88	8	H	11	H11	8H11											
pa1179	N708	D89	8	A	12	A12	8A12											
pa1291	N708	D90	8	B	12	B12	8B12											
pa1308	N708	D91	8	C	12	C12	8C12											
pa1321	N708	D92	8	D	12	D12	8D12											
pa1799	N708	D93	8	E	12	E12	8E12											
pa1849	N708	D94	8	F	12	F12	8F12											
pa1851	N708	D95	8	G	12	G12	8G12											
pa1852	N708	D96	8	H	12	H12	8H12											
pa1854	N709	D01	9	A	1	A1	9A1											
pa1858	N709	D02	9	B	1	B1	9B1											
pa1896	N709	D03	9	C	1	C1	9C1											
pa1904	N709	D04	9	D	1	D1	9D1											
pa1912	N709	D05	9	E	1	E1	9E1											
pa1943	N709	D06	9	F	1	F1	9F1											
pa1945	N709	D07	9	G	1	G1	9G1											
pa2382	N709	D08	9	H	1	H1	9H1											
pa2386	N709	D09	9	A	2	A2	9A2											
pa2389	N709	D10	9	B	2	B2	9B2											
pa2393	N709	D11	9	C	2	C2	9C2											
pa2395	N709	D12	9	D	2	D2	9D2											
pa2399	N709	D13	9	E	2	E2	9E2											
pa2400	N709	D14	9	F	2	F2	9F2											
pa2417	N709	D15	9	G	2	G2	9G2											
pa2468	N709	D16	9	H	2	H2	9H2											
pa2472	N709	D17	9	A	3	A3	9A3											
pa2477	N709	D18	9	B	3	B3	9B3											
pa2478	N709	D19	9	C	3	C3	9C3											
pa2483	N709	D20	9	D	3	D3	9D3											
pa2484	N709	D21	9	E	3	E3	9E3											
pa2485	N709	D22	9	F	3	F3	9F3											
pa2486	N709	D23	9	G	3	G3	9G3											
pa2495	N709	D24	9	H	3	H3	9H3											
pa2499	N709	D25	9	A	4	A4	9A4											
pa2514	N709	D26	9	B	4	B4	9B4											
pa2520	N709	D27	9	C	4	C4	9C4											
pa2530	N709	D28	9	D	4	D4	9D4											
pa1282	N709	D29	9	E	4	E4	9E4											
pb0296b	N709	D30	9	F	4	F4	9F4											
pb0292b	N709	D31	9	G	4	G4	9G4											
pb0934	N709	D32	9	H	4	H4	9H4											
pb1000	N709	D33	9	A	5	A5	9A5											
pb1046	N709	D35	9	C	5	C5	9C5											
pb1047	N709	D36	9	D	5	D5	9D5											
pb1048	N709	D37	9	E	5	E5	9E5											
pb1053	N709	D38	9	F	5	F5	9F5											
pb1060	N709	D39	9	G	5	G5	9G5											
pb1469	N709	D41	9	A	6	A6	9A6											
pb1470	N709	D42	9	B	6	B6	9B6											
pb1512	N709	D43	9	C	6	C6	9C6											
pb1522	N709	D44	9	D	6	D6	9D6											
pb1561	N709	D45	9	E	6	E6	9E6											
pb1569	N709	D46	9	F	6	F6	9F6											
pb1591	N709	D47	9	G	6	G6	9G6											
pb1602	N709	D48	9	H	6	H6	9H6											
pb1606	N709	D49	9	A	7	A7	9A7											
pb2943	N709	D50	9	B	7	B7	9B7											
pb2944	N709	D51	9	C	7	C7	9C7											
pb2945	N709	D52	9	D	7	D7	9D7											
pb2946	N709	D53	9	E	7	E7	9E7											
pb2948	N709	D54	9	F	7	F7	9F7											
pb0810	N709	D55	9	G	7	G7	9G7											
pb0836	N709	D56	9	H	7	H7	9H7											
pb0854	N709	D57	9	A	8	A8	9A8											
pb0860	N709	D58	9	B	8	B8	9B8											
pb0861	N709	D59	9	C	8	C8	9C8											
pb0866	N709	D60	9	D	8	D8	9D8											
pb0868	N709	D61	9	E	8	E8	9E8											
pb0869	N709	D62	9	F	8	F8	9F8											
pb0871	N709	D63	9	G	8	G8	9G8											
pb0873	N709	D64	9	H	8	H8	9H8											
pb0881	N709	D65	9	A	9	A9	9A9											
pb0894	N709	D66	9	B	9	B9	9B9											
pb1009	N709	D68	9	D	9	D9	9D9											
pb1014	N709	D69	9	E	9	E9	9E9											
pb1192	N709	D70	9	F	9	F9	9F9											
pb1195	N709	D71	9	G	9	G9	9G9											
pb1843	N709	D72	9	H	9	H9	9H9											
pb1844	N709	D73	9	A	10	A10	9A10											
pb1846	N709	D74	9	B	10	B10	9B10											
pb1847	N709	D75	9	C	10	C10	9C10											
pb1848	N709	D76	9	D	10	D10	9D10											
pb1850	N709	D77	9	E	10	E10	9E10											
pb1860	N709	D78	9	F	10	F10	9F10											
pb1914	N709	D79	9	G	10	G10	9G10											
pb1188	N709	D80	9	H	10	H10	9H10											
pb1191	N709	D81	9	A	11	A11	9A11											
pb1705	N709	D83	9	C	11	C11	9C11											
pb1706	N709	D84	9	D	11	D11	9D11											
pb1720	N709	D85	9	E	11	E11	9E11											
pb1857	N709	D86	9	F	11	F11	9F11											
pb3303	N709	D87	9	G	11	G11	9G11											
pb3304	N709	D88	9	H	11	H11	9H11											
pb3306	N709	D89	9	A	12	A12	9A12											
pb3308	N709	D90	9	B	12	B12	9B12											
pb3311	N709	D91	9	C	12	C12	9C12											
pb3312	N709	D92	9	D	12	D12	9D12											
pb3313	N709	D93	9	E	12	E12	9E12											
pb3316	N709	D94	9	F	12	F12	9F12											
pb3317	N709	D95	9	G	12	G12	9G12											
pb3318	N709	D96	9	H	12	H12	9H12											
pb3320	N710	D01	10	A	1	A1	10A1											
pb3489	N710	D02	10	B	1	B1	10B1											
pb3497	N710	D03	10	C	1	C1	10C1											
pb4169	N710	D04	10	D	1	D1	10D1											
pb4170	N710	D05	10	E	1	E1	10E1											
pb4180	N710	D06	10	F	1	F1	10F1											
pb4214	N710	D07	10	G	1	G1	10G1											
pb4593	N710	D08	10	H	1	H1	10H1											
pb0876	N710	D09	10	A	2	A2	10A2											
pb0883	N710	D10	10	B	2	B2	10B2											
pb0888	N710	D11	10	C	2	C2	10C2											
pb0893	N710	D12	10	D	2	D2	10D2											
pb1085	N710	D14	10	F	2	F2	10F2											
pb1088	N710	D15	10	G	2	G2	10G2											
pb1092	N710	D16	10	H	2	H2	10H2											
pb1093	N710	D17	10	A	3	A3	10A3											
pb2182	N710	D18	10	B	3	B3	10B3											
pb2191	N710	D20	10	D	3	D3	10D3											
pb2194	N710	D21	10	E	3	E3	10E3											
pb2197	N710	D22	10	F	3	F3	10F3											
pb2198	N710	D23	10	G	3	G3	10G3											
pb2303	N710	D24	10	H	3	H3	10H3											
pb2307	N710	D25	10	A	4	A4	10A4											
pb2311	N710	D26	10	B	4	B4	10B4											
pb2312	N710	D27	10	C	4	C4	10C4											
pb2313	N710	D28	10	D	4	D4	10D4											
pb2316	N710	D29	10	E	4	E4	10E4											
pb2318	N710	D30	10	F	4	F4	10F4											
pb2319	N710	D31	10	G	4	G4	10G4											
pb2320	N710	D32	10	H	4	H4	10H4											
pb3675	N710	D33	10	A	5	A5	10A5											
pb0875	N710	D34	10	B	5	B5	10B5											
pb0900	N710	D35	10	C	5	C5	10C5											
pb0952	N710	D36	10	D	5	D5	10D5											
pb1654	N710	D37	10	E	5	E5	10E5											
pb1656	N710	D38	10	F	5	F5	10F5											
pb1658	N710	D39	10	G	5	G5	10G5											
pb1665	N710	D40	10	H	5	H5	10H5											
pb1681	N710	D41	10	A	6	A6	10A6											
pb1684	N710	D43	10	C	6	C6	10C6											
pb1686	N710	D44	10	D	6	D6	10D6											
pb1691	N710	D45	10	E	6	E6	10E6											
pb1692	N710	D46	10	F	6	F6	10F6											
pb1695	N710	D47	10	G	6	G6	10G6											
pb1699	N710	D48	10	H	6	H6	10H6											
pb1700	N710	D49	10	A	7	A7	10A7											
pb2295	N710	D50	10	B	7	B7	10B7											
pb2342	N710	D51	10	C	7	C7	10C7											
pb2360	N710	D52	10	D	7	D7	10D7											
pb3382	N710	D53	10	E	7	E7	10E7											
pb3386	N710	D54	10	F	7	F7	10F7											
pb3388	N710	D55	10	G	7	G7	10G7											
pb3391	N710	D56	10	H	7	H7	10H7											
pb3393	N710	D57	10	A	8	A8	10A8											
pb3400	N710	D58	10	B	8	B8	10B8											
pb0960	N710	D59	10	C	8	C8	10C8											
pb1164	N710	D60	10	D	8	D8	10D8											
pb1166	N710	D61	10	E	8	E8	10E8											
pb1172	N710	D62	10	F	8	F8	10F8											
pb1179	N710	D63	10	G	8	G8	10G8											
pb1662	N710	D64	10	H	8	H8	10H8											
pb1664	N710	D65	10	A	9	A9	10A9											
pb1672	N710	D66	10	B	9	B9	10B9											
pb1677	N710	D67	10	C	9	C9	10C9											
pb1693	N710	D69	10	E	9	E9	10E9											
pb1694	N710	D70	10	F	9	F9	10F9											
pb1697	N710	D71	10	G	9	G9	10G9											
pb2352	N710	D72	10	H	9	H9	10H9											
pb2410	N710	D73	10	A	10	A10	10A10											
pb2414	N710	D74	10	B	10	B10	10B10											
pb2417	N710	D75	10	C	10	C10	10C10											
pb3363	N710	D76	10	D	10	D10	10D10											
pb3368	N710	D77	10	E	10	E10	10E10											
pb3370	N710	D78	10	F	10	F10	10F10											
pb3373	N710	D79	10	G	10	G10	10G10											
pb3378	N710	D80	10	H	10	H10	10H10											
pb3424	N710	D81	10	A	11	A11	10A11											
pb3425	N710	D82	10	B	11	B11	10B11											
pb3426	N710	D83	10	C	11	C11	10C11											
pa1499	N710	D84	10	D	11	D11	10D11											
pb0912	N710	D85	10	E	11	E11	10E11											
pb3845	N710	D86	10	F	11	F11	10F11											
pb3850	N710	D87	10	G	11	G11	10G11											
z1970	N710	D88	10	H	11	H11	10H11											
z3987	N710	D89	10	A	12	A12	10A12											
pb1915	N710	D90	10	B	12	B12	10B12											
pb3490	N710	D91	10	C	12	C12	10C12											
pb3677	N710	D92	10	D	12	D12	10D12											
pb4144	N710	D93	10	E	12	E12	10E12											
pb3430	N710	D94	10	F	12	F12	10F12											
pb3432	N710	D95	10	G	12	G12	10G12											
pb3434	N710	D96	10	H	12	H12	10H12											
