PlantID	Group	Coverage_mean	Coverage_stdev	GT_percentage	MappingQuality	InsertSize_median	Coverage_bin
PB0427	2x	3.0106	30.6363	35.99	42.1799	206	Low
PB0428	2x	1.8431	22.552	36.19	41.2189	210	Low
PB0429	2x	2.6475	32.7269	36.05	41.9311	206	Low
PB0432	2x	1.9713	18.2408	35.81	41.6664	204	Low
PB0435	2x	2.2596	22.257	36.03	41.8984	209	Low
PB0436	2x	2.5542	22.3169	35.96	42.0066	205	Low
PB0437	2x	2.4368	17.4518	35.75	41.9893	208	Low
PB0438	2x	2.3663	33.9805	36.02	41.7311	202	Low
PB0440	2x	2.1252	17.8249	35.86	41.5112	211	Low
PB0441	2x	2.8522	29.2733	35.92	42.1576	203	Low
PB0364	2x	1.5645	14.6779	35.93	41.165	206	Low
PB0442	2x	2.0048	22.0541	35.99	41.5056	212	Low
PB0443	2x	2.0783	21.3676	35.95	41.5845	208	Low
PB0445	2x	1.7148	16.2434	36.09	41.4634	212	Low
PB0447	2x	2.6191	35.1849	36.19	42.0634	203	Low
PB0448	2x	2.1327	25.54	35.96	41.8252	203	Low
PB0450	2x	2.261	39.7307	36.08	41.5086	198	Low
PB0451	2x	2.4942	34.7194	36.14	41.9213	202	Low
PB0453	2x	2.1917	20.869	35.93	41.9541	204	Low
PB0454	2x	2.6421	23.4417	35.86	42.1526	202	Low
PB0455	2x	2.4111	21.0286	35.74	42.2341	204	Low
PB0405	2x	1.8079	17.9478	36.02	41.3854	206	Low
PB0456	2x	2.5419	27.0689	36.05	42.0486	208	Low
PB0459	2x	2.6091	22.8408	35.87	42.0977	205	Low
PB0460	2x	2.1537	16.5234	35.65	41.9104	206	Low
PB0461	2x	2.3333	19.0903	35.84	42.046	214	Low
PB0462	2x	1.8503	22.3289	36.05	41.6377	204	Low
PB0463	2x	1.9165	22.7312	35.88	41.6124	204	Low
PB0465	2x	1.5769	17.4414	36.06	41.2596	209	Low
PB0468	2x	2.2944	28.541	36.11	41.7554	209	Low
PB0469	2x	2.9813	21.4703	35.85	42.1801	205	Low
PB0472	2x	2.8901	31.3487	35.95	42.2003	199	Low
PB0408	2x	2.0661	18.925	36.02	41.6589	206	Low
PB0474	2x	2.6828	23.9191	36.1	42.1737	204	Low
PB0476	2x	2.1059	33.0776	36.52	41.5266	202	Low
PB0479	2x	1.9831	19.8411	35.99	41.7176	205	Low
PB0480	2x	2.7681	35.5721	35.95	42.1625	196	Low
PB0482	2x	2.1575	33.8665	36.37	41.6453	205	Low
PB0484	2x	2.3203	31.1515	36.28	41.6153	203	Low
PB0485	2x	2.3693	30.1542	36.19	42.0204	199	Low
PB0486	2x	2.1546	34.9277	36.19	41.8154	199	Low
PB0487	2x	2.2405	31.6985	36.16	41.7548	203	Low
PB0489	2x	2.3329	21.3313	35.94	42.0733	201	Low
PB0409	2x	1.5296	11.3935	35.9	41.2094	211	Low
PB0491	2x	2.4013	23.9905	35.91	42.0682	204	Low
PB0494	2x	2.1287	21.9157	35.86	42.0128	201	Low
PB0495	2x	1.9107	20.0351	36.2	41.7309	208	Low
PB0498	2x	1.7991	23.7309	36.24	41.6275	203	Low
PB0500	2x	1.8741	22.7696	36.12	41.6251	204	Low
PB0526	2x	1.9373	14.1482	35.8	41.997	205	Low
PB0539	2x	2.7237	35.6668	36.13	42.1806	199	Low
PB0547	2x	2.1269	20.023	36.13	41.8979	206	Low
PB0731	2x	1.6613	16.4759	36.03	41.6562	209	Low
PB0733	2x	1.7763	14.3352	36.08	41.6782	207	Low
PB0410	2x	1.5678	16.5222	36	41.0258	205	Low
PB0738	2x	2.3287	29.0646	36.12	41.975	208	Low
PB0740	2x	2.2054	32.5551	36.12	41.8095	197	Low
PB0743	2x	2.1405	32.3146	36.28	41.7715	201	Low
PB0746	2x	2.4272	22.4729	36.08	42.0931	206	Low
PB0747	2x	1.1287	11.3098	36.07	40.8291	209	Low
PB0750	2x	1.6177	12.5299	35.94	41.4064	207	Low
PB0754	2x	1.9375	23.9328	36.28	41.6541	210	Low
PB0757	2x	1.6684	21.714	36.18	41.2823	211	Low
PB0758	2x	2.152	20.7905	36.11	41.8607	213	Low
PB0759	2x	2.0223	10.9787	35.78	41.9623	207	Low
PB0412	2x	1.4288	17.5607	35.98	41.0459	210	Low
PB0760	2x	2.6423	25.6091	35.99	42.3099	200	Low
PB0761	2x	2.3773	22.214	36.09	42.1125	201	Low
PB0763	2x	3.0854	22.546	35.94	42.4694	204	Low
PB0764	2x	2.0009	31.6626	36.16	41.7368	202	Low
PB0765	2x	1.9588	12.9993	35.96	41.9511	213	Low
PB0766	2x	2.3917	19.2001	35.98	42.2718	212	Low
PB0767	2x	1.9971	15.0234	35.99	41.7539	208	Low
PB0769	2x	2.4584	29.9308	36.32	42.0262	204	Low
PB0770	2x	2.8069	34.8427	36.19	42.2393	206	Low
PB0771	2x	3.6238	37.1448	36.01	42.4535	208	Low
PB0413	2x	1.9329	19.5451	36.06	41.8223	208	Low
PB0772	2x	1.9341	22.0212	36.03	41.747	206	Low
PB0773	2x	1.1134	8.7886	36.1	40.5485	216	Low
PB0414	2x	1.8877	21.956	36.02	41.7507	210	Low
PB0786	2x	2.0041	21.2542	35.9	41.9703	199	Low
PB0787	2x	1.6608	11.9241	35.79	41.9144	200	Low
PB0788	2x	2.1131	30.8391	36.27	41.9577	200	Low
PB0789	2x	2.3097	21.0367	36.1	42.1979	201	Low
PB0790	2x	1.2632	12.7639	35.99	40.9645	214	Low
PB0791	2x	1.8014	22.3308	35.82	41.8172	194	Low
PB0792	2x	1.3182	15.8766	36.05	41.3113	202	Low
PB0793	2x	1.8548	24.268	36.32	41.6973	201	Low
PB0794	2x	2.1114	32.6938	36.12	41.8862	195	Low
PB0795	2x	1.9761	38.7293	36.29	41.4487	198	Low
PB0774	2x	2.3366	17.9908	35.99	42.4413	201	Low
PB0796	2x	1.9311	18.7079	36.04	41.7393	200	Low
PB0797	2x	1.7703	17.2834	36.09	41.6499	203	Low
PB0798	2x	2.1923	17.9595	35.84	42.0366	197	Low
PB0799	2x	1.4991	12.7773	35.72	41.5772	198	Low
PB0800	2x	1.9167	17.1762	35.82	41.7787	199	Low
PB1823	2x	2.2708	30.3655	36.09	42.0815	204	Low
PB1824	2x	2.1063	24.2278	36.01	41.9903	202	Low
PB1826	2x	2.4756	20.4254	35.65	42.411	199	Low
PB1827	2x	2.189	14.9569	35.91	41.8645	209	Low
PB1828	2x	2.7325	21.3162	36	42.2938	208	Low
PB0775	2x	1.7453	17.2171	35.86	41.7157	199	Low
PB1829	2x	1.9935	18.8645	35.88	41.7589	205	Low
PB1831	2x	1.9323	10.4233	35.55	41.9027	200	Low
PB1832	2x	1.9389	29.1065	36.27	41.6693	203	Low
PB1833	2x	2.6028	20.6228	36.01	42.2752	202	Low
PB1834	2x	2.1194	21.2042	35.84	42.0596	199	Low
PB1835	2x	2.2697	18.3373	35.66	42.2731	200	Low
PB1838	2x	2.5545	25.8431	36.02	42.367	198	Low
PB1839	2x	2.393	24.863	36.1	42.1728	203	Low
PB1840	2x	2.0935	37.1372	36.25	41.8365	198	Low
PB1941	2x	1.954	25.6216	35.94	42.0029	199	Low
PB0777	2x	1.6841	17.868	35.86	41.5958	201	Low
PB1943	2x	2.1655	28.0205	36.15	42.1509	204	Low
PB1945	2x	2.2737	20.2135	36.02	42.282	200	Low
PB1946	2x	2.2584	24.6498	35.93	42.1167	197	Low
PB1947	2x	2.3062	34.8113	35.99	41.9825	195	Low
PB1948	2x	2.532	23.1196	35.97	42.2771	205	Low
PB1949	2x	1.9705	16.7781	36.01	42.1283	201	Low
PB1951	2x	1.7144	20.3315	35.97	41.684	198	Low
PB1954	2x	1.9866	19.0503	35.85	42.1285	203	Low
PB1962	2x	1.5218	13.7048	35.98	41.5014	206	Low
PB1965	2x	2.1775	15.8783	36	42.1214	209	Low
PB0778	2x	1.9535	21.1557	36.21	41.8827	201	Low
PB2052	2x	1.859	25.2323	36.05	41.6351	199	Low
PB2321	2x	2.1494	18.7189	35.76	42.0898	199	Low
PB2327	2x	2.2637	25.5444	36.1	42.1262	202	Low
PB2335	2x	1.7023	17.3773	35.87	41.687	197	Low
PB2337	2x	2.1535	30.0045	35.99	42.0187	198	Low
PB2340	2x	2.2957	22.9936	36.05	42.1934	203	Low
PB2401	2x	2.0822	27.5179	36.2	41.9815	205	Low
PB2408	2x	2.2083	22.7725	35.87	42.1652	197	Low
PB2412	2x	2.0544	20.8922	35.9	42.0192	198	Low
PB2413	2x	2.0189	19.2355	36.24	41.9079	204	Low
PB0779	2x	1.7623	17.5526	36.1	41.8444	205	Low
PB2466	2x	2.1135	17.3402	35.99	42.3012	200	Low
PB2524	2x	2.2899	18.4979	35.88	42.1806	203	Low
PB2536	2x	1.8074	17.2214	35.89	41.7687	201	Low
PB2539	2x	2.02	17.8816	36.03	42.1153	206	Low
PB2542	2x	1.963	17.0183	36.05	42.0703	205	Low
PB2543	2x	1.7504	17.7455	36.02	41.5243	202	Low
PB2547	2x	1.6906	18.9538	35.72	41.5772	190	Low
PB2549	2x	2.9474	35.4854	36.18	42.3449	198	Low
PB2551	2x	1.7105	13.7753	36	41.7379	204	Low
PB2552	2x	1.6958	16.51	35.87	41.5547	203	Low
PB0780	2x	1.3592	14.856	35.86	41.0274	200	Low
PB2555	2x	1.3459	14.0896	35.94	40.958	205	Low
PB2556	2x	1.265	26.1509	36.68	40.7882	203	Low
PB2557	2x	1.9449	19.1852	36.11	41.823	209	Low
PB2558	2x	1.568	13.9457	35.9	41.5409	203	Low
PB2559	2x	2.1473	22.4109	35.91	42.0029	198	Low
PB2560	2x	1.931	15.535	35.91	41.9054	204	Low
PB2595	2x	2.4071	43.8246	36.39	41.92	205	Low
PB2750	2x	2.3739	26.8684	35.95	41.9769	201	Low
PB2757	2x	1.3506	11.447	35.78	41.0225	204	Low
PB2804	2x	1.737	25.7367	36.31	41.5258	208	Low
PB0782	2x	1.2678	9.5903	35.78	41.2439	203	Low
PB2808	2x	1.7027	17.8755	36.2	41.6881	211	Low
PB2820	2x	1.9411	16.5079	35.9	41.7782	209	Low
PB2862	2x	1.8089	16.7733	35.83	41.6768	205	Low
PB2863	2x	2.0436	22.6933	36.09	41.7371	202	Low
PB2864	2x	2.0731	22.2548	36.19	41.989	200	Low
PB2865	2x	2.057	17.2232	35.84	41.818	203	Low
PB2866	2x	1.8696	14.4879	35.71	41.8173	201	Low
PB2867	2x	1.2607	14.6993	36.1	41.1556	208	Low
PB2868	2x	2.5421	23.4595	36.03	42.405	210	Low
PB2869	2x	1.3501	11.1308	35.82	41.2066	203	Low
PB0784	2x	1.8403	14.3484	35.91	41.9756	205	Low
PB2871	2x	1.0848	8.3128	35.64	40.9911	202	Low
PB2872	2x	1.9531	21.4475	36.01	41.8619	205	Low
PB2873	2x	0.9931	13.1443	36.14	40.6349	206	Low
PB2874	2x	1.368	8.4726	35.67	41.4712	202	Low
PB2875	2x	0.7801	5.8477	35.72	40.336	205	Low
PB2877	2x	3.6723	30.4944	36.05	42.5488	215	Low
PB0785	2x	0.7954	12.1065	36.51	40.7685	184	Low
PB2917	2x	1.985	20.9936	35.85	41.7337	194	Low
PB2919	2x	1.8062	19.2672	35.96	41.4975	200	Low
PB3343	2x	2.3101	19.6557	35.9	41.9767	199	Low
PB3346	2x	2.5872	24.1484	35.82	42.2978	196	Low
PB3354	2x	1.3915	15.4234	36.05	41.1534	205	Low
PB3355	2x	2.457	17.7355	35.71	42.2949	199	Low
PB3356	2x	1.4739	15.9469	36.07	41.0245	200	Low
PB3357	2x	2.6668	18.5837	35.76	42.247	199	Low
