ID	barcode	location	species
PB3424	Plate10_C81	Pla	Amajus
PB3425	Plate10_C82	Pla	Amajus
PB3426	Plate10_C83	Pla	Amajus
PA1499	Plate10_C84	Pla	Amajus
PB0912	Plate10_C85	Pla	Amajus
PB3845	Plate10_C86	Pla	Amajus
PB3850	Plate10_C87	Pla	Amajus
Z1970	Plate10_C88	Pla	Amajus
Z3987	Plate10_C89	Pla	Amajus
PB1915	Plate10_C90	Pla	Amajus
PB3490	Plate10_C91	Pla	Amajus
PB3677	Plate10_C92	Pla	Amajus
PB4144	Plate10_C93	Pla	Amajus
PB3430	Plate10_C94	Pla	Amajus
PB3432	Plate10_C95	Pla	Amajus
PB3434	Plate10_C96	Pla	Amajus
